description,name,price,offer_price,meassure,pum,size,brand,meassure_description,market,timestamp,identifier
DIA leche semidesnatada envase 1 lt,,0.58,,lt,58.0,1.0,DIA,envase 1 lt,dia,1618236843.2250729,504
DIA leche condensada bote 450 gr,,1.39,,gr,309.0,450.0,DIA,bote 450 gr,dia,1618236850.2049448,57797
DIA leche desnatada envase 1 lt,,0.57,,lt,57.0,1.0,DIA,envase 1 lt,dia,1618236857.2075782,607
DIA leche entera envase 1 lt,,0.59,,lt,59.0,1.0,DIA,envase 1 lt,dia,1618236864.243728,608
DIA leche condensada bote 1 Kg,,1.99,,Kg,199.0,1.0,DIAK,bote 1 Kg,dia,1618236871.2166584,6006
FLORA Folic B leche semidesnatada envase 1 lt,"Bebida UHT de leche desnatada con aceites vegetales (1.6%) enriquecida con vitaminas A, D, E, B1, B6, B12 y ácido fólico",1.54,,lt,154.0,1.0,FLORAFB,envase 1 lt,dia,1618236878.2079644,61326
PULEVA Max energía y crecimiento envase 1 lt,Bebida láctea infantil con omega 3.UHT,1.35,,lt,135.0,1.0,PULEVAM,envase 1 lt,dia,1618236885.2139626,63050
ALPRO bebida soja envase 1 lt,"Bebida de soja UHT enriquecida con calcio y vitaminas (B2,B12 y D)",1.49,,lt,149.0,1.0,ALPRO,envase 1 lt,dia,1618236892.249277,67928
PASCUAL leche entera envase 1 lt,Leche entera UHT,0.89,,lt,89.0,1.0,PASCUAL,envase 1 lt,dia,1618236900.8531656,73676
PASCUAL leche semidesnatada envase 1 lt,Leche semidesnatada UHT,0.89,,lt,89.0,1.0,PASCUAL,envase 1 lt,dia,1618236907.8664603,73677
PASCUAL leche desnatada envase 1 lt,Leche desnatada UHT,0.89,,lt,89.0,1.0,PASCUAL,envase 1 lt,dia,1618236914.8448682,73678
VIVESOY bebida de soja envase 1 lt,Bebida de soja con calcio y vitaminas A y D.,1.49,,lt,149.0,1.0,VIVESOY,envase 1 lt,dia,1618236921.7653892,73692
ASTURIANA leche desnatada botella 1.5 lt,Leche UHT desnatada,1.26,,lt,84.0,1.5,ASTURIANA,botella 1.5 lt,dia,1618236928.7598047,74722
DIA leche condensada desnatada bote 450 gr,,1.59,,gr,353.0,450.0,DIA,bote 450 gr,dia,1618236936.3429716,8969
LA LECHERA leche condensada lata 370 gr,Leche condensada.,1.69,,gr,457.0,370.0,LALECHERA,lata 370 gr,dia,1618236943.461694,613
DIA VITAL bebida de almendras envase 1 lt,,1.49,,lt,149.0,1.0,DIAVITAL,envase 1 lt,dia,1618236950.4556918,221984
DIA VITAL bebida de arroz envase 1 lt,,1.19,,lt,119.0,1.0,DIAVITAL,envase 1 lt,dia,1618236957.5199652,221983
DIA VITAL bebida de soja envase 1 lt,,0.95,,lt,95.0,1.0,DIAVITAL,envase 1 lt,dia,1618236964.6349018,3027
DIA VITAL bebida de soja light envase 1 lt,,0.89,,lt,89.0,1.0,DIAVITAL,envase 1 lt,dia,1618236971.6761727,129956
ASTURIANA leche entera botella 1.5 lt,Leche UHT entera,1.26,,lt,84.0,1.5,ASTURIANA,botella 1.5 lt,dia,1618236978.8333676,74720
ASTURIANA leche semidesnatada botella 1.5 lt,Leche UHT SEMIDESNATADA,1.26,,lt,84.0,1.5,ASTURIANA,botella 1.5 lt,dia,1618236986.1293588,5716
MARDEL dulce de leche frasco 450 gr,Dulce de leche,2.59,,gr,576.0,450.0,MARDEL,frasco 450 gr,dia,1618236993.6990669,87057
